brand,model,generation,eng_cap,prod_year,power,fuel_type,car_body,mileage,color,condition,transmission,origin,price,source
BMW,Seria 3,E46 (1998-2007),2 171 cm3,2001,170 KM,Benzyna,Coupe,259 193 km,Szary,Używane,Automatyczna,Niemcy,15 000PLN,OTOMOTO
BMW,Seria 3,F30/F31 (2012-2020),2 979 cm3,2013,306 KM,Benzyna,Sedan,149 800 km,Szary,Używane,Manualna,Stany Zjednoczone,55 000PLN,OTOMOTO
BMW,Seria 3,E90/E91/E92/E93 (2005-2012),1 995 cm3,2006,129 KM,Benzyna,Kombi,240 000 km,Czarny,Używane,Manualna,Niemcy,15 499PLN,OTOMOTO
BMW,Seria 3,Unknown,3 000 cm³,2009,234 KM,Benzyna,Coupe,190 000 km,Szary,Nieuszkodzony,Automatyczna,Kanada,40 700 złdo negocjacji,OLX
BMW,Seria 3,E46 (1998-2007),1 796 cm3,2003,115 KM,Benzyna+LPG,Sedan,238 000 km,Błękitny,Używane,Manualna,Belgia,7 300PLN,OTOMOTO
BMW,Seria 3,Unknown,1 995 cm³,2003,149 KM,Diesel,Sedan,360 000 km,Czarny,Nieuszkodzony,Manualna,Unknown,8 500 złdo negocjacji,OLX
BMW,Seria 3,Unknown,1 995 cm³,2006,129 KM,Benzyna,Sedan,254 000 km,Szary,Nieuszkodzony,Manualna,Niemcy,17 600 złdo negocjacji,OLX
BMW,Seria 3,Unknown,1 951 cm³,2000,136 KM,Diesel,Kombi,344 000 km,Srebrny,Nieuszkodzony,Automatyczna,Unknown,6 500 złdo negocjacji,OLX
BMW,Seria 3,Unknown,2 996 cm³,2007,272 KM,LPG,Coupe,300 000 km,Inny kolor,Nieuszkodzony,Automatyczna,Niemcy,55 000 zł,OLX
BMW,Seria 3,G20/G21 (2019-),1 995 cm3,2020,190 KM,Diesel,Kombi,179 852 km,Szary,Używane,Automatyczna,Unknown,99 999PLN,OTOMOTO
BMW,Seria 3,F30/F31 (2012-2020),1 995 cm3,2016,150 KM,Diesel,Sedan,243 000 km,Czarny,Używane,Automatyczna,Unknown,49 900PLN,OTOMOTO
BMW,Seria 3,E46 (1998-2007),2 171 cm3,2003,170 KM,Benzyna+LPG,Sedan,302 021 km,Srebrny,Używane,Manualna,Niemcy,18 900PLN,OTOMOTO
BMW,Seria 3,E90/E91/E92/E93 (2005-2012),1 995 cm3,2011,143 KM,Benzyna,Kombi,222 804 km,Złoty,Używane,Manualna,Unknown,22 000PLN,OTOMOTO
BMW,Seria 3,F30/F31 (2012-2020),1 995 cm3,2017,150 KM,Diesel,Kombi,80 426 km,Srebrny,Używane,Automatyczna,Unknown,44 900PLN,OTOMOTO
BMW,Seria 3,G20/G21 (2019-),1 995 cm3,2019,190 KM,Diesel,Kombi,197 832 km,Szary,Używane,Manualna,Belgia,102 500PLN,OTOMOTO
BMW,Seria 3,G20/G21 (2019-),1 998 cm3,2023,258 KM,Benzyna,Kombi,11 300 km,Szary,Używane,Automatyczna,Polska,261 900PLN,OTOMOTO
BMW,Seria 3,Unknown,2 000 cm³,2002,142 KM,Benzyna,Hatchback,222 000 km,Inny kolor,Nieuszkodzony,Automatyczna,Unknown,4 500 złdo negocjacji,OLX
BMW,Seria 3,F30/F31 (2012-2020),1 998 cm3,2017,252 KM,Benzyna,Sedan,69 171 km,Czerwony,Używane,Automatyczna,Polska,106 000PLN,OTOMOTO
BMW,Seria 3,Unknown,1 796 cm³,2004,115 KM,Benzyna,Hatchback,200 000 km,Czarny,Nieuszkodzony,Manualna,Niemcy,4 750 zł,OLX
BMW,Seria 3,Unknown,1 995 cm³,2013,184 KM,Diesel,Kombi,231 000 km,Biały,Nieuszkodzony,Automatyczna,Włochy,42 000 złdo negocjacji,OLX
BMW,Seria 3,Unknown,2 979 cm³,2002,231 KM,Benzyna,Coupe,220 000 km,Niebieski,Nieuszkodzony,Manualna,Francja,26 900 złdo negocjacji,OLX
BMW,Seria 3,E46 (1998-2007),1 991 cm3,1998,150 KM,Benzyna+LPG,Sedan,304 000 km,Srebrny,Używane,Manualna,Niemcy,11 600PLN,OTOMOTO
BMW,Seria 3,Unknown,2 500 cm³,1997,170 KM,Benzyna,Sedan,300 000 km,Inny kolor,Nieuszkodzony,Manualna,Unknown,9 000 złdo negocjacji,OLX
BMW,Seria 3,F30/F31 (2012-2020),1 995 cm3,2017,190 KM,Diesel,Kombi,199 000 km,Szary,Używane,Automatyczna,Niemcy,69 900PLN,OTOMOTO
BMW,Seria 3,F30/F31 (2012-2020),1 995 cm3,2014,143 KM,Diesel,Kombi,300 600 km,Biały,Używane,Automatyczna,Unknown,41 900PLN,OTOMOTO
BMW,Seria 3,E30 (1982-1994),1 596 cm3,1989,99 KM,Benzyna,Sedan,171 000 km,Biały,Używane,Manualna,Unknown,37 000PLN,OTOMOTO
BMW,Seria 3,Unknown,2 000 cm³,2003,150 KM,Diesel,Hatchback,250 000 km,Żółty – Złoty,Uszkodzony,Manualna,Unknown,3 200 złdo negocjacji,OLX
BMW,Seria 3,E46 (1998-2007),1 895 cm3,1999,105 KM,Benzyna,Sedan,266 900 km,Czarny,Używane,Manualna,Unknown,3 750PLN,OTOMOTO
BMW,Seria 3,Unknown,1 995 cm³,2007,129 KM,Benzyna,Kombi,211 000 km,Czarny,Nieuszkodzony,Manualna,Niemcy,16 800 złdo negocjacji,OLX
BMW,Seria 3,Unknown,1 995 cm³,2009,116 KM,Diesel,Sedan,209 494 km,Srebrny,Nieuszkodzony,Manualna,Belgia,23 500 złdo negocjacji,OLX
BMW,Seria 3,G20/G21 (2019-),1 995 cm3,2020,190 KM,Diesel,Kombi,56 000 km,Czarny,Używane,Automatyczna,Austria,152 000PLN,OTOMOTO
BMW,Seria 3,Unknown,2 200 cm³,2003,170 KM,LPG,Kombi,279 800 km,Srebrny,Nieuszkodzony,Automatyczna,Unknown,15 400 zł,OLX
BMW,Seria 3,Unknown,2 993 cm³,2009,286 KM,Diesel,Sedan,251 000 km,Czarny,Nieuszkodzony,Automatyczna,Unknown,42 900 zł,OLX
BMW,Seria 3,Unknown,2 000 cm³,2014,143 KM,Diesel,Kombi,229 000 km,Czarny,Nieuszkodzony,Manualna,Niemcy,44 500 złdo negocjacji,OLX
BMW,Seria 3,E46 (1998-2007),1 796 cm3,2003,115 KM,Benzyna,Sedan,240 000 km,Czarny,Używane,Manualna,Unknown,9 900PLN,OTOMOTO
BMW,Seria 3,F30/F31 (2012-2020),1 995 cm3,2014,184 KM,Diesel,Kombi,187 000 km,Szary,Używane,Automatyczna,Polska,50 900PLN,OTOMOTO
BMW,Seria 3,E30 (1982-1994),1 766 cm3,1985,105 KM,Benzyna,Sedan,124 000 km,Złoty,Używane,Manualna,Unknown,42 500PLN,OTOMOTO
BMW,Seria 3,Unknown,2 000 cm³,2018,250 KM,Benzyna,Kombi,78 000 km,Szary,Nieuszkodzony,Automatyczna,Stany Zjednoczone,59 999 zł,OLX
BMW,Seria 3,E90/E91/E92/E93 (2005-2012),2 979 cm3,2007,306 KM,Benzyna,Kabriolet,227 000 km,Czarny,Używane,Automatyczna,Unknown,59 900PLN,OTOMOTO
BMW,Seria 3,F30/F31 (2012-2020),1 995 cm3,2016,190 KM,Diesel,Kombi,171 200 km,Niebieski,Używane,Automatyczna,Włochy,42 500PLN,OTOMOTO
BMW,Seria 3,F30/F31 (2012-2020),1 995 cm3,2015,150 KM,Diesel,Sedan,164 000 km,Czarny,Używane,Automatyczna,Polska,64 900PLN,OTOMOTO
BMW,Seria 3,Unknown,2 000 cm³,2008,143 KM,Diesel,Sedan,281 000 km,Inny kolor,Nieuszkodzony,Automatyczna,Unknown,15 700 złdo negocjacji,OLX
BMW,Seria 3,Unknown,Unknown,2007,177 KM,Diesel,Kombi,306 000 km,Czarny,Nieuszkodzony,Manualna,Unknown,21 600 złdo negocjacji,OLX
BMW,Seria 3,Unknown,1 800 cm³,1997,115 KM,Benzyna,Kabriolet,186 450 km,Inny kolor,Nieuszkodzony,Manualna,Unknown,32 000 zł,OLX
BMW,Seria 3,Unknown,3 000 cm³,2002,231 KM,Benzyna,Kabriolet,105 000 km,Srebrny,Nieuszkodzony,Automatyczna,Stany Zjednoczone,39 500 zł,OLX
BMW,Seria 3,Unknown,1 995 cm³,2013,185 KM,Diesel,Hatchback,310 000 km,Biały,Nieuszkodzony,Automatyczna,Unknown,68 000 złdo negocjacji,OLX
BMW,Seria 3,Unknown,1 995 cm³,2003,120 KM,Diesel,Kombi,240 000 km,Czarny,Nieuszkodzony,Manualna,Niemcy,10 900 złdo negocjacji,OLX
BMW,Seria 3,Unknown,1 800 cm³,1997,115 KM,Benzyna,Kabriolet,186 450 km,Inny kolor,Nieuszkodzony,Manualna,Unknown,32 000 zł,OLX
BMW,Seria 3,G20/G21 (2019-),1 995 cm3,2020,190 KM,Diesel,Kombi,150 212 km,Granatowy,Używane,Automatyczna,Niemcy,108 950PLN,OTOMOTO
BMW,Seria 3,E90/E91/E92/E93 (2005-2012),1 995 cm3,2009,143 KM,Benzyna,Kombi,178 000 km,Czarny,Używane,Manualna,Unknown,24 900PLN,OTOMOTO
BMW,Seria 3,F30/F31 (2012-2020),1 995 cm3,2015,190 KM,Diesel,Kombi,156 624 km,Czarny,Używane,Automatyczna,Polska,74 000PLN,OTOMOTO
BMW,Seria 3,E90/E91/E92/E93 (2005-2012),2 993 cm3,2010,245 KM,Diesel,Kombi,287 000 km,Srebrny,Używane,Automatyczna,Niemcy,40 600PLN,OTOMOTO
BMW,Seria 3,E90/E91/E92/E93 (2005-2012),1 995 cm3,2010,115 KM,Diesel,Sedan,246 500 km,Biały,Używane,Manualna,Unknown,32 900PLN,OTOMOTO
BMW,Seria 3,F30/F31 (2012-2020),1 998 cm3,2017,184 KM,Hybryda Plug-in,Sedan,108 000 km,Granatowy,Używane,Automatyczna,Polska,125 000PLN,OTOMOTO
BMW,Seria 3,Unknown,2 993 cm³,2011,245 KM,Diesel,Sedan,244 000 km,Szary,Nieuszkodzony,Automatyczna,Niemcy,45 900 zł,OLX
BMW,Seria 3,F30/F31 (2012-2020),1 499 cm3,2015,136 KM,Benzyna,Sedan,46 639 km,Biały,Używane,Automatyczna,Polska,69 900PLN,OTOMOTO
BMW,Seria 3,Unknown,2 000 cm³,2005,140 KM,Benzyna,Kombi,234 000 km,Szary,Nieuszkodzony,Manualna,Niemcy,7 800 zł,OLX
BMW,Seria 3,Unknown,1 995 cm³,2010,105 KM,Benzyna,Kombi,233 000 km,Czarny,Nieuszkodzony,Manualna,Niemcy,27 500 złdo negocjacji,OLX
BMW,Seria 3,Unknown,1 995 cm³,2003,143 KM,Benzyna,Coupe,164 962 km,Inny kolor,Nieuszkodzony,Manualna,Niemcy,19 800 zł,OLX
BMW,Seria 3,Unknown,2 000 cm³,2001,143 KM,Diesel,Sedan,401 000 km,Niebieski,Nieuszkodzony,Manualna,Unknown,7 000 zł,OLX
BMW,Seria 3,G20/G21 (2019-),1 995 cm3,2023,190 KM,Diesel,Kombi,5 km,Biały,Nowe,Automatyczna,Polska,275 850PLN,OTOMOTO
BMW,Seria 3,Unknown,1 800 cm³,2002,115 KM,LPG,Kombi,270 000 km,Czarny,Nieuszkodzony,Manualna,Niemcy,7 000 złdo negocjacji,OLX
BMW,Seria 3,F30/F31 (2012-2020),1 995 cm3,2017,150 KM,Diesel,Sedan,122 490 km,Czarny,Używane,Automatyczna,Polska,81 900PLN,OTOMOTO
BMW,Seria 3,G20/G21 (2019-),1 998 cm3,2024,292 KM,Hybryda,Sedan,5 km,Czarny,Nowe,Automatyczna,Polska,312 200PLN,OTOMOTO
BMW,Seria 3,E90/E91/E92/E93 (2005-2012),1 995 cm3,2006,150 KM,Benzyna,Sedan,252 417 km,Czarny,Używane,Manualna,Szwecja,23 500PLN,OTOMOTO
BMW,Seria 3,G20/G21 (2019-),1 998 cm3,2023,184 KM,Benzyna,Kombi,18 360 km,Szary,Używane,Automatyczna,Polska,209 900PLN,OTOMOTO
BMW,Seria 3,G20/G21 (2019-),1 998 cm3,2021,156 KM,Benzyna,Kombi,65 495 km,Szary,Używane,Automatyczna,Unknown,139 900PLN,OTOMOTO
BMW,Seria 3,F30/F31 (2012-2020),1 995 cm3,2012,184 KM,Diesel,Kombi,219 000 km,Czarny,Używane,Manualna,Unknown,57 000PLN,OTOMOTO
BMW,Seria 3,Unknown,1 895 cm³,2001,76 KM,Benzyna,Sedan,270 000 km,Czarny,Nieuszkodzony,Manualna,Niemcy,3 000 zł,OLX
BMW,Seria 3,G20/G21 (2019-),1 998 cm3,2023,156 KM,Benzyna,Sedan,10 000 km,Szary,Używane,Automatyczna,Polska,199 900PLN,OTOMOTO
BMW,Seria 3,Unknown,1 796 cm³,2003,116 KM,Benzyna,Sedan,259 000 km,Niebieski,Nieuszkodzony,Manualna,Niemcy,5 900 zł,OLX
BMW,Seria 3,Unknown,1 995 cm³,2003,143 KM,Benzyna,Sedan,321 000 km,Srebrny,Nieuszkodzony,Manualna,Polska,7 900 zł,OLX
BMW,Seria 3,Unknown,1 998 cm³,2006,127 KM,Benzyna,Kombi,230 000 km,Szary,Uszkodzony,Manualna,Niemcy,8 500 zł,OLX
BMW,Seria 3,E90/E91/E92/E93 (2005-2012),2 497 cm3,2006,218 KM,Benzyna,Coupe,280 000 km,Srebrny,Używane,Manualna,Unknown,42 000PLN,OTOMOTO
BMW,Seria 3,Unknown,1 951 cm³,2002,116 KM,Diesel,Sedan,355 500 km,Czarny,Nieuszkodzony,Manualna,Niemcy,5 600 złdo negocjacji,OLX
BMW,Seria 3,Unknown,2 000 cm³,2009,143 KM,Diesel,Kombi,278 000 km,Czarny,Nieuszkodzony,Manualna,Unknown,14 900 zł,OLX
BMW,Seria 3,Unknown,1 796 cm³,2002,115 KM,Benzyna,Sedan,221 648 km,Inny kolor,Nieuszkodzony,Manualna,Niemcy,13 000 złdo negocjacji,OLX
BMW,Seria 3,E46 (1998-2007),2 494 cm3,2000,170 KM,Benzyna,Coupe,208 000 km,Szary,Używane,Automatyczna,Niemcy,22 000PLN,OTOMOTO
BMW,Seria 3,F30/F31 (2012-2020),1 995 cm3,2016,150 KM,Diesel,Kombi,103 000 km,Czarny,Używane,Manualna,Unknown,31 700PLN,OTOMOTO
BMW,Seria 3,F30/F31 (2012-2020),1 998 cm3,2015,245 KM,Benzyna,Sedan,157 151 km,Biały,Używane,Automatyczna,Stany Zjednoczone,62 900PLN,OTOMOTO
BMW,Seria 3,G20/G21 (2019-),1 998 cm3,2021,184 KM,Hybryda Plug-in,Sedan,67 000 km,Biały,Używane,Automatyczna,Unknown,159 900PLN,OTOMOTO
BMW,Seria 3,E46 (1998-2007),2 494 cm3,2001,192 KM,Benzyna,Kompakt,241 793 km,Niebieski,Używane,Manualna,Niemcy,14 900PLN,OTOMOTO
BMW,Seria 3,Unknown,1 995 cm³,2012,143 KM,Diesel,Kombi,267 000 km,Czarny,Nieuszkodzony,Manualna,Francja,27 999 zł,OLX
BMW,Seria 3,F30/F31 (2012-2020),1 995 cm3,2017,150 KM,Diesel,Coupe,180 000 km,Biały,Używane,Automatyczna,Polska,85 000PLN,OTOMOTO
BMW,Seria 3,Unknown,1 991 cm³,1996,149 KM,Benzyna,Sedan,356 300 km,Czarny,Nieuszkodzony,Manualna,Polska,26 500 złdo negocjacji,OLX
BMW,Seria 3,F30/F31 (2012-2020),1 995 cm3,2015,136 KM,Diesel,Kombi,249 000 km,Czerwony,Używane,Automatyczna,Unknown,43 600PLN,OTOMOTO
BMW,Seria 3,E90/E91/E92/E93 (2005-2012),2 996 cm3,2010,218 KM,Benzyna,Coupe,211 000 km,Czarny,Używane,Manualna,Unknown,47 900PLN,OTOMOTO
BMW,Seria 3,F30/F31 (2012-2020),1 995 cm3,2017,190 KM,Diesel,Kombi,158 000 km,Biały,Używane,Automatyczna,Polska,99 900PLN,OTOMOTO
BMW,Seria 3,G20/G21 (2019-),1 995 cm3,2021,190 KM,Diesel,Sedan,159 000 km,Biały,Używane,Automatyczna,Unknown,105 999PLN,OTOMOTO
BMW,Seria 3,F30/F31 (2012-2020),1 995 cm3,2014,143 KM,Diesel,Sedan,207 000 km,Czarny,Używane,Automatyczna,Francja,49 900PLN,OTOMOTO
BMW,Seria 3,Unknown,2 000 cm³,2008,Unknown,Diesel,Kombi,280 000 km,Czarny,Nieuszkodzony,Manualna,Unknown,19 900 złdo negocjacji,OLX
BMW,Seria 3,Unknown,1 995 cm³,2009,170 KM,Benzyna,Sedan,156 500 km,Czarny,Uszkodzony,Manualna,Niemcy,16 500 złdo negocjacji,OLX
BMW,Seria 3,E36 (1990-1999),2 793 cm3,1997,193 KM,Benzyna,Kabriolet,178 000 km,Srebrny,Używane,Manualna,Unknown,42 900PLN,OTOMOTO
BMW,Seria 3,E90/E91/E92/E93 (2005-2012),1 995 cm3,2011,163 KM,Diesel,Kombi,299 500 km,Czarny,Używane,Manualna,Holandia,31 999PLN,OTOMOTO
BMW,Seria 3,E36 (1990-1999),1 596 cm3,1996,102 KM,Benzyna,Coupe,154 000 km,Czerwony,Używane,Automatyczna,Unknown,18 900PLN,OTOMOTO
BMW,Seria 3,Unknown,1 800 cm³,1997,Unknown,Benzyna,Kabriolet,168 000 km,Inny kolor,Nieuszkodzony,Manualna,Polska,18 600 zł,OLX
BMW,Seria 3,E90/E91/E92/E93 (2005-2012),2 979 cm3,2007,306 KM,Benzyna,Coupe,276 268 km,Szary,Używane,Manualna,Unknown,49 900PLN,OTOMOTO
BMW,Seria 3,E46 (1998-2007),2 979 cm3,2003,231 KM,Benzyna,Kombi,181 000 km,Szary,Używane,Automatyczna,Szwajcaria,26 500PLN,OTOMOTO
BMW,Seria 3,E36 (1990-1999),2 793 cm3,1997,193 KM,Benzyna,Kabriolet,178 000 km,Srebrny,Używane,Manualna,Unknown,42 900PLN,OTOMOTO
BMW,Seria 3,E90/E91/E92/E93 (2005-2012),1 995 cm3,2011,163 KM,Diesel,Kombi,299 500 km,Czarny,Używane,Manualna,Holandia,31 999PLN,OTOMOTO
BMW,Seria 3,E36 (1990-1999),1 596 cm3,1996,102 KM,Benzyna,Coupe,154 000 km,Czerwony,Używane,Automatyczna,Unknown,18 900PLN,OTOMOTO
BMW,Seria 3,E90/E91/E92/E93 (2005-2012),2 993 cm3,2009,197 KM,Diesel,Coupe,230 580 km,Biały,Używane,Manualna,Unknown,48 999PLN,OTOMOTO
BMW,Seria 3,E90/E91/E92/E93 (2005-2012),1 995 cm3,2010,184 KM,Diesel,Sedan,266 252 km,Bordowy,Używane,Automatyczna,Unknown,35 000PLN,OTOMOTO
BMW,Seria 3,Unknown,1 800 cm³,2001,115 KM,Benzyna,Hatchback,174 808 km,Inny kolor,Nieuszkodzony,Manualna,Niemcy,5 800 złdo negocjacji,OLX
BMW,Seria 3,E90/E91/E92/E93 (2005-2012),2 990 cm3,2009,245 KM,Diesel,Sedan,288 000 km,Biały,Używane,Automatyczna,Unknown,52 500PLN,OTOMOTO
BMW,Seria 3,E46 (1998-2007),1 995 cm3,2003,143 KM,Benzyna,Sedan,233 000 km,Srebrny,Używane,Manualna,Unknown,17 000PLN,OTOMOTO
BMW,Seria 3,F30/F31 (2012-2020),1 995 cm3,2017,190 KM,Diesel,Kombi,260 000 km,Czarny,Używane,Automatyczna,Unknown,64 000PLN,OTOMOTO
BMW,Seria 3,F30/F31 (2012-2020),2 993 cm3,2014,313 KM,Diesel,Kombi,279 900 km,Czarny,Używane,Automatyczna,Belgia,74 900PLN,OTOMOTO
BMW,Seria 3,Unknown,2 000 cm³,2000,136 KM,Diesel,Kombi,395 000 km,Srebrny,Nieuszkodzony,Manualna,Belgia,3 500 złdo negocjacji,OLX
BMW,Seria 3,G20/G21 (2019-),1 998 cm3,2021,156 KM,Benzyna,Kombi,66 000 km,Szary,Używane,Automatyczna,Polska,124 900PLN,OTOMOTO
BMW,Seria 3,Unknown,2 000 cm³,2005,150 KM,Diesel,Kombi,250 000 km,Czarny,Nieuszkodzony,Manualna,Niemcy,3 490 zł,OLX
BMW,Seria 3,E90/E91/E92/E93 (2005-2012),2 996 cm3,2008,218 KM,Benzyna,Sedan,222 952 km,Srebrny,Używane,Manualna,Niemcy,32 900PLN,OTOMOTO
BMW,Seria 3,E90/E91/E92/E93 (2005-2012),1 995 cm3,2005,150 KM,Diesel,Kombi,252 000 km,Czarny,Używane,Manualna,Unknown,15 900PLN,OTOMOTO
BMW,Seria 3,G20/G21 (2019-),1 998 cm3,2024,156 KM,Benzyna,Sedan,1 km,Biały,Nowe,Automatyczna,Unknown,184 510PLN,OTOMOTO
BMW,Seria 3,E90/E91/E92/E93 (2005-2012),2 993 cm3,2005,231 KM,Diesel,Sedan,284 800 km,Szary,Używane,Automatyczna,Niemcy,28 900PLN,OTOMOTO
BMW,Seria 3,F30/F31 (2012-2020),1 995 cm3,2019,190 KM,Diesel,Kombi,179 927 km,Srebrny,Używane,Automatyczna,Unknown,89 997PLN,OTOMOTO
BMW,Seria 3,E90/E91/E92/E93 (2005-2012),2 000 cm3,2011,170 KM,Benzyna,Kombi,152 000 km,Czarny,Używane,Manualna,Unknown,36 900PLN,OTOMOTO
BMW,Seria 3,G20/G21 (2019-),1 995 cm3,2022,190 KM,Diesel,Sedan,100 000 km,Czarny,Używane,Automatyczna,Polska,167 000PLN,OTOMOTO
BMW,Seria 3,Unknown,2 000 cm³,2012,188 KM,Diesel,Sedan,360 000 km,Biały,Nieuszkodzony,Automatyczna,Polska,47 990 złdo negocjacji,OLX
